gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online,isSystemProfile
F,20,12,32450,787,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,171,FALSE,TRUE,FALSE,FALSE
F,22,4,1710,116,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,190,FALSE,TRUE,FALSE,FALSE
F,25,13,26842,643,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,163,FALSE,TRUE,FALSE,FALSE
F,22,2,20266,1148,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,162,FALSE,TRUE,FALSE,FALSE
F,20,4,16683,647,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.039999999,FALSE,FALSE,FALSE,FALSE,FALSE,95.80000305,FALSE,TRUE,FALSE,FALSE
F,25,7,3413,86,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,57.79999924,FALSE,TRUE,FALSE,FALSE
F,19,13,8310,143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,125,FALSE,FALSE,FALSE,FALSE
F,21,1,25903,982,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.620000005,FALSE,FALSE,FALSE,FALSE,FALSE,137,FALSE,TRUE,TRUE,FALSE
F,21,27,33018,812,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,103,FALSE,TRUE,FALSE,FALSE
F,22,15,2502,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,152,FALSE,TRUE,FALSE,FALSE
F,24,5,22847,1282,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.189999998,FALSE,FALSE,FALSE,FALSE,FALSE,164,FALSE,TRUE,FALSE,FALSE
F,21,13,7407,125,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,142,FALSE,TRUE,FALSE,FALSE
F,19,30,16096,533,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,TRUE,FALSE
F,20,18,6962,361,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,144,FALSE,TRUE,FALSE,FALSE
F,22,30,30863,1901,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.689999998,FALSE,FALSE,FALSE,FALSE,FALSE,177,FALSE,TRUE,TRUE,FALSE
F,24,3,51339,2926,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,143,FALSE,TRUE,FALSE,FALSE
F,21,7,3471,38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,183,FALSE,TRUE,TRUE,FALSE
F,25,18,12050,478,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,162,FALSE,TRUE,FALSE,FALSE
F,24,12,26982,710,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,138,FALSE,FALSE,FALSE,FALSE
F,24,7,1820,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,128,FALSE,TRUE,TRUE,FALSE
F,22,18,11507,194,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,76.90000153,FALSE,FALSE,FALSE,FALSE
F,21,10,17655,468,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,138,FALSE,TRUE,FALSE,FALSE
F,21,11,47000,1469,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,144,FALSE,TRUE,FALSE,FALSE
F,19,8,12754,368,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,144,FALSE,TRUE,TRUE,FALSE
F,19,3,7694,143,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.119999997,FALSE,FALSE,FALSE,FALSE,FALSE,135,FALSE,TRUE,FALSE,FALSE
F,25,20,4372,134,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,139,FALSE,TRUE,FALSE,FALSE
F,22,5,9700,124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.189999998,FALSE,FALSE,FALSE,FALSE,FALSE,183,FALSE,TRUE,FALSE,FALSE
F,20,3,10531,360,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,141,FALSE,FALSE,FALSE,FALSE
F,19,8,16458,486,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
F,20,5,264,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE
F,25,15,18475,1065,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,139,FALSE,TRUE,FALSE,FALSE
F,22,5,7045,316,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,139,FALSE,TRUE,FALSE,FALSE
F,25,4,52884,1717,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,318,FALSE,TRUE,TRUE,FALSE
F,22,12,37740,1016,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,133,FALSE,TRUE,TRUE,FALSE
F,20,4,6730,297,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,29.89999962,FALSE,TRUE,TRUE,FALSE
F,24,4,18395,328,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
F,24,6,6756,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.899999976,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,TRUE,FALSE
F,21,4,10976,158,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,135,FALSE,TRUE,TRUE,FALSE
F,22,5,1309,89,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,140,FALSE,TRUE,TRUE,FALSE
F,26,1,1448,37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.349999994,FALSE,FALSE,FALSE,FALSE,FALSE,309,FALSE,TRUE,TRUE,FALSE
F,23,19,31448,754,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,81,FALSE,TRUE,FALSE,FALSE
F,20,8,7979,138,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,179,FALSE,TRUE,FALSE,FALSE
F,19,4,48980,2358,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.620000005,FALSE,FALSE,FALSE,FALSE,FALSE,167,FALSE,TRUE,TRUE,FALSE
F,22,3,54332,1196,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,162,FALSE,TRUE,TRUE,FALSE
F,20,28,33528,3679,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,138,FALSE,TRUE,TRUE,FALSE
F,22,11,6495,292,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.620000005,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,TRUE,TRUE,FALSE
F,23,30,11989,272,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,95.59999847,FALSE,TRUE,FALSE,FALSE
F,20,13,2844,35,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,131,FALSE,TRUE,FALSE,FALSE
F,20,1,27174,1306,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.349999994,FALSE,FALSE,FALSE,FALSE,FALSE,168,FALSE,FALSE,TRUE,FALSE
F,25,11,4709,203,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,76.09999847,FALSE,TRUE,FALSE,FALSE
F,21,21,20642,530,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,80.09999847,FALSE,TRUE,FALSE,FALSE
F,23,7,18216,301,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,149,FALSE,TRUE,TRUE,FALSE
F,19,7,9078,335,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.689999998,FALSE,FALSE,FALSE,FALSE,FALSE,188,FALSE,TRUE,FALSE,FALSE
F,21,3,18187,772,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,95,FALSE,TRUE,FALSE,FALSE
F,24,6,17115,610,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,140,FALSE,FALSE,FALSE,FALSE
F,20,14,51560,6155,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,175,FALSE,TRUE,TRUE,FALSE
F,23,20,23177,1194,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,166,FALSE,TRUE,FALSE,FALSE
F,23,1,52,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.540000021,FALSE,FALSE,FALSE,FALSE,FALSE,371,FALSE,TRUE,TRUE,FALSE
F,20,13,4829,348,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,198,FALSE,TRUE,FALSE,FALSE
F,20,4,31435,1978,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.419999987,FALSE,FALSE,FALSE,FALSE,FALSE,79.69999695,FALSE,TRUE,FALSE,FALSE
F,24,27,28159,638,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,161,FALSE,TRUE,FALSE,FALSE
F,22,11,5550,450,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,144,FALSE,TRUE,TRUE,FALSE
F,19,8,1255,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,160,FALSE,TRUE,FALSE,FALSE
F,23,4,5177,467,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,178,FALSE,TRUE,TRUE,FALSE
F,26,11,25845,1898,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,302,FALSE,TRUE,TRUE,FALSE
F,25,7,8143,317,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,495,FALSE,TRUE,TRUE,FALSE
F,24,10,10861,593,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,453,FALSE,TRUE,TRUE,FALSE
F,21,21,52465,3739,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.270000011,FALSE,FALSE,FALSE,FALSE,FALSE,51.40000153,FALSE,TRUE,FALSE,FALSE
F,24,4,1076,20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,160,FALSE,TRUE,FALSE,FALSE
F,22,8,19690,551,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,258,FALSE,TRUE,TRUE,FALSE
F,20,19,28293,1027,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,163,FALSE,TRUE,FALSE,FALSE
F,24,17,43796,2750,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,139,FALSE,TRUE,FALSE,FALSE
F,19,7,5101,158,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,79.30000305,FALSE,TRUE,TRUE,FALSE
F,20,4,9850,241,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.349999994,FALSE,FALSE,FALSE,FALSE,FALSE,174,FALSE,TRUE,FALSE,FALSE
F,19,4,21224,316,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.230000004,FALSE,FALSE,FALSE,FALSE,FALSE,145,FALSE,TRUE,FALSE,FALSE
F,19,9,4335,355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,FALSE,FALSE
F,19,4,12754,644,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.649999976,FALSE,FALSE,FALSE,FALSE,FALSE,50.40000153,FALSE,TRUE,FALSE,FALSE
F,26,4,3441,88,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,220,FALSE,TRUE,TRUE,FALSE
F,19,10,18731,644,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.419999987,FALSE,FALSE,FALSE,FALSE,FALSE,92,FALSE,TRUE,FALSE,FALSE
F,21,16,5450,298,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,FALSE,FALSE
F,19,1,29903,2146,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.150000006,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE,FALSE
F,24,11,14526,1116,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,185,FALSE,TRUE,FALSE,FALSE
F,24,15,3769,276,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,TRUE,FALSE
F,20,6,7662,189,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,186,FALSE,TRUE,FALSE,FALSE
F,19,6,7571,396,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,131,FALSE,TRUE,FALSE,FALSE
F,19,13,7842,142,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,195,FALSE,TRUE,TRUE,FALSE
F,23,4,3959,188,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,315,FALSE,TRUE,TRUE,FALSE
F,23,1,1797,40,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,222,FALSE,TRUE,FALSE,FALSE
F,20,6,30847,1861,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,TRUE,FALSE
F,23,2,12671,338,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.150000006,FALSE,FALSE,FALSE,FALSE,FALSE,306,FALSE,FALSE,TRUE,FALSE
F,20,11,7465,247,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,112,FALSE,TRUE,FALSE,FALSE
F,20,12,23168,520,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.460000008,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,TRUE,TRUE,FALSE
F,25,25,27375,885,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE,FALSE
F,20,12,15236,764,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.649999976,FALSE,FALSE,FALSE,FALSE,FALSE,85.09999847,FALSE,TRUE,FALSE,FALSE
F,19,5,1167,29,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,145,FALSE,TRUE,FALSE,FALSE
F,19,11,22226,2338,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE,FALSE
F,20,5,19653,759,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,FALSE,FALSE
F,19,11,13194,225,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,121,FALSE,TRUE,FALSE,FALSE
